ID,Nome_Empresa,Receita_Anual,Margem_Liquida,Endividamento,Setor,Regiao,Tempo_Operacao,Auditoria_Externa,Rating_Credito,Tipo_Empresa,Politica_Sustentabilidade,Estrategia_Expansao,Gestao_Risco,Cobertura_Seguros,Maturidade_Digital,Governanca_Corporativa,Cultura_Inovacao,Relacao_Comunidade,Risco_Credito,Risco_Compliance,Risco_Mercado
1,Hahn Group,6523388,0.48287892097792934,1.0327667167116328,Manufatura,Europa,26,0,0.938714635374035,MEI,Baixa,Parcerias,Centralizada,Básica,Avançada,Fraca,Neutra,Regular,0,0,0
2,Lopez Group,6650634,0.1212922916119091,0.49284112351672354,Tecnologia,Europa,20,1,0.49236230351962584,MEI,Baixa,Orgânica,Centralizada,Básica,Inicial,Média,Neutra,Ruim,0,0,0
3,Sparks and Sons,4404572,0.1901137582230335,0.7570991380338556,Manufatura,América Latina,6,0,0.7008656991254286,S.A.,Alta,Orgânica,Decentralizada,Básica,Inicial,Alta,Neutra,Boa,0,0,0
4,"Fields, Ramirez and Craig",2334489,0.4024424125235137,2.3279620788365847,Manufatura,Europa,6,1,0.8555511234358725,MEI,Alta,Parcerias,Centralizada,Nenhuma,Intermediária,Média,Inovadora,Excelente,1,0,0
5,"Campbell, Hernandez and Lyons",9624682,0.174548803253561,1.7223574614072528,Saúde,América do Norte,18,1,0.41829111109348593,Limitada,Alta,Aquisições,Decentralizada,Nenhuma,Avançada,Fraca,Neutra,Regular,0,0,0
6,Robinson Ltd,7304212,-0.07087599000680075,1.2905148128317276,Saúde,América do Norte,4,1,0.3094127948704444,Limitada,Média,Orgânica,Centralizada,Ampla,Avançada,Alta,Neutra,Ruim,1,0,1
7,Bennett LLC,9728519,0.009717138236533904,0.13051573596854446,Tecnologia,Ásia,17,0,0.9367245558534901,S.A.,Baixa,Parcerias,Decentralizada,Básica,Avançada,Média,Neutra,Regular,0,1,0
8,"Rios, Stevens and Johnson",4572471,0.016955848388027613,2.4817969611747284,Saúde,Europa,14,1,0.5156765510770731,Limitada,Média,Parcerias,Centralizada,Nenhuma,Intermediária,Alta,Neutra,Regular,1,0,0
9,"Murphy, Walters and Cruz",4623669,0.07812268082031848,1.7114918437471438,Tecnologia,América Latina,14,0,0.497253886590878,Multinacional,Baixa,Aquisições,Decentralizada,Básica,Avançada,Média,Neutra,Ruim,0,1,0
10,Larson Ltd,7504852,0.09875223373572455,0.8606139456278679,Financeiro,América Latina,13,0,0.17841609656349577,Limitada,Alta,Aquisições,Centralizada,Básica,Intermediária,Média,Conservadora,Boa,1,1,0
11,Ortiz and Sons,5081505,0.35984741545198856,2.2102447839948116,Tecnologia,América Latina,7,0,0.10815501457335674,Limitada,Alta,Orgânica,Centralizada,Ampla,Inicial,Fraca,Neutra,Boa,1,0,0
12,Duncan-Monroe,1866891,0.044570899334533086,0.7202358887003634,Financeiro,Ásia,44,0,0.8421068624835116,Limitada,Alta,Orgânica,Decentralizada,Nenhuma,Inicial,Fraca,Conservadora,Regular,0,1,0
13,"Jimenez, Davis and Powell",4621373,0.1277622799089655,1.4056397900386037,Tecnologia,América do Norte,15,0,0.6141331761875181,Multinacional,Alta,Orgânica,Centralizada,Nenhuma,Avançada,Média,Neutra,Ruim,0,0,0
14,Rivera Inc,6119877,0.23748319093573655,1.62656983295158,Manufatura,América Latina,19,0,0.3258245840194487,MEI,Baixa,Parcerias,Centralizada,Básica,Inicial,Alta,Conservadora,Boa,1,0,0
15,Collins and Sons,3444769,0.06440816320811849,0.6305520914889483,Saúde,América do Norte,43,0,0.19173621739026647,Limitada,Alta,Orgânica,Decentralizada,Básica,Inicial,Alta,Neutra,Regular,1,1,0
16,Sparks-Wiggins,9280351,0.385595369304633,2.44815346912143,Financeiro,Ásia,47,1,0.5554972801696314,S.A.,Baixa,Parcerias,Centralizada,Ampla,Avançada,Fraca,Neutra,Excelente,1,0,0
17,Lawson Inc,203355,0.211217522963852,1.895660574349594,Tecnologia,Europa,44,1,0.5839192892611353,Multinacional,Baixa,Orgânica,Centralizada,Ampla,Inicial,Média,Neutra,Ruim,1,0,1
18,Harris-Cummings,1362752,0.0058312754546800604,1.4387517412265678,Saúde,Europa,35,1,0.20699360124505817,S.A.,Média,Aquisições,Centralizada,Ampla,Avançada,Fraca,Neutra,Excelente,1,0,0
19,Perry Inc,9884633,0.2998414398528797,0.5334270356207221,Tecnologia,Europa,17,0,0.8514057478914739,Limitada,Alta,Aquisições,Decentralizada,Ampla,Avançada,Média,Inovadora,Excelente,0,0,0
20,Johnson-Schmitt,5764789,0.16935341110135005,0.2292596967952627,Saúde,América Latina,35,0,0.08426436615585109,S.A.,Alta,Parcerias,Decentralizada,Ampla,Inicial,Média,Neutra,Regular,1,0,0
21,Patton-Riley,9795979,0.1741191238800728,0.8681435980503603,Saúde,Europa,19,0,0.3560930851664217,Limitada,Média,Aquisições,Decentralizada,Ampla,Inicial,Fraca,Conservadora,Ruim,1,0,0
22,Adams-Johnson,9405648,0.13676156387131014,1.9076496061921666,Tecnologia,América Latina,20,0,0.6803844137625221,Multinacional,Baixa,Parcerias,Decentralizada,Básica,Inicial,Alta,Inovadora,Boa,1,0,0
23,"Acosta, Miller and Munoz",5843066,0.14790836417487427,0.7463951159248602,Financeiro,Ásia,36,1,0.2741203638192007,S.A.,Alta,Parcerias,Decentralizada,Ampla,Inicial,Fraca,Inovadora,Boa,1,0,0
24,Lee Group,6213790,0.3357493967463684,1.3949349291892121,Financeiro,Ásia,35,0,0.8276751947812718,S.A.,Baixa,Aquisições,Centralizada,Básica,Inicial,Média,Neutra,Regular,0,0,0
25,Cruz Ltd,4821339,-0.12791296446807915,1.8470732241537835,Manufatura,América Latina,32,1,0.7398678266004035,Limitada,Média,Parcerias,Centralizada,Básica,Intermediária,Fraca,Conservadora,Boa,1,0,0
