iter	Passed	Remaining
0	75	35169
1	147	34252
2	213	32916
3	288	33302
4	293	27026
5	325	24935
6	402	26396
7	471	26969
8	473	24051
9	539	24617
10	605	25037
11	671	25406
12	737	25693
13	741	23929
14	806	24249
15	873	24558
16	938	24775
17	1006	25043
18	1075	25296
19	1144	25530
20	1221	25892
21	1225	24742
22	1227	23637
23	1295	23861
24	1298	22905
25	1365	23106
26	1430	23261
27	1499	23453
28	1506	22700
29	1572	22859
30	1599	22441
31	1666	22599
32	1731	22722
33	1799	22859
34	1866	22982
35	1932	23079
36	1999	23181
37	2063	23239
38	2131	23332
39	2197	23403
40	2262	23456
41	2329	23513
42	2332	22940
43	2357	22606
44	2358	22067
45	2424	22132
46	2490	22198
47	2556	22265
48	2625	22344
49	2651	22061
50	2717	22111
51	2787	22195
52	2859	22280
53	2935	22393
54	2949	22038
55	3016	22083
56	3085	22140
57	3155	22200
58	3225	22252
59	3296	22303
60	3366	22354
61	3392	22106
62	3393	21707
63	3395	21327
64	3460	21350
65	3524	21361
66	3552	21154
67	3630	21246
68	3695	21263
69	3759	21268
70	3823	21272
71	3837	20997
72	3900	20997
73	3962	20988
74	4025	20984
75	4092	21002
76	4159	21011
77	4233	21057
78	4259	20867
79	4326	20874
80	4330	20584
81	4397	20592
82	4462	20593
83	4530	20602
84	4595	20599
85	4664	20611
86	4737	20637
87	4813	20676
88	4887	20702
89	4957	20710
90	5026	20712
91	5095	20713
92	5166	20720
93	5234	20713
94	5299	20697
95	5372	20704
96	5440	20694
97	5509	20687
98	5576	20671
99	5643	20654
100	5713	20647
101	5781	20631
102	5847	20607
103	5912	20580
104	5979	20556
105	5986	20331
106	6051	20303
107	6078	20149
108	6146	20131
109	6218	20124
110	6291	20120
111	6364	20114
112	6435	20102
113	6506	20089
114	6578	20079
115	6646	20055
116	6713	20026
117	6784	20007
118	6853	19983
119	6919	19952
120	6989	19928
121	7055	19894
122	7122	19861
123	7188	19825
124	7255	19794
125	7322	19759
126	7389	19723
127	7455	19687
128	7519	19644
129	7586	19606
130	7653	19571
131	7719	19533
132	7785	19491
133	7850	19449
134	7915	19407
135	7982	19368
136	8047	19326
137	8113	19283
138	8180	19243
139	8245	19201
140	8313	19162
141	8381	19123
142	8448	19083
143	8514	19038
144	8581	18996
145	8647	18952
146	8712	18905
147	8779	18863
148	8843	18815
149	8908	18767
150	8977	18728
151	9043	18681
152	9109	18635
153	9176	18590
154	9254	18569
155	9322	18525
156	9390	18481
157	9455	18431
158	9524	18389
159	9594	18350
160	9664	18309
161	9736	18270
162	9805	18227
163	9871	18178
164	9938	18130
165	10005	18082
166	10072	18033
167	10140	17987
168	10207	17938
169	10279	17897
170	10350	17856
171	10421	17812
172	10488	17763
173	10557	17717
174	10634	17683
175	10700	17631
176	10766	17579
177	10834	17529
178	10907	17488
179	10984	17453
180	11071	17433
181	11140	17383
182	11207	17331
183	11280	17288
184	11355	17248
185	11423	17196
186	11488	17140
187	11555	17087
188	11624	17036
189	11696	16990
190	11767	16943
191	11834	16889
192	11901	16835
193	11968	16780
194	12034	16724
195	12102	16671
196	12168	16615
197	12238	16565
198	12318	16527
199	12393	16483
200	12459	16427
201	12527	16372
202	12595	16318
203	12663	16263
204	12729	16207
205	12795	16149
206	12861	16092
207	12928	16036
208	12994	15979
209	13064	15926
210	13135	15874
211	13201	15816
212	13269	15761
213	13335	15703
214	13409	15654
215	13479	15600
216	13545	15543
217	13611	15484
218	13679	15428
219	13754	15380
220	13819	15320
221	13886	15262
222	13953	15205
223	14021	15147
224	14093	15095
225	14161	15038
226	14231	14983
227	14298	14925
228	14364	14866
229	14437	14814
230	14509	14760
231	14576	14701
232	14643	14643
233	14712	14586
234	14783	14531
235	14854	14476
236	14919	14415
237	14986	14356
238	15054	14298
239	15129	14247
240	15195	14187
241	15261	14126
242	15326	14065
243	15397	14008
244	15468	13953
245	15534	13892
246	15600	13832
247	15667	13772
248	15739	13716
249	15807	13658
250	15876	13599
251	15941	13537
252	16012	13481
253	16083	13424
254	16148	13362
255	16215	13301
256	16285	13243
257	16357	13187
258	16423	13125
259	16489	13064
260	16555	13003
261	16627	12946
262	16691	12883
263	16759	12823
264	16826	12762
265	16897	12704
266	16967	12646
267	17033	12584
268	17099	12522
269	17167	12462
270	17259	12418
271	17340	12368
272	17407	12306
273	17477	12246
274	17546	12186
275	17612	12124
276	17679	12062
277	17745	12000
278	17820	11943
279	17887	11882
280	17953	11819
281	18019	11757
282	18088	11696
283	18155	11635
284	18222	11572
285	18287	11509
286	18356	11448
287	18429	11390
288	18494	11327
289	18561	11264
290	18628	11202
291	18701	11143
292	18783	11090
293	18848	11026
294	18918	10966
295	18991	10907
296	19060	10845
297	19126	10782
298	19192	10719
299	19261	10658
300	19329	10595
301	19394	10532
302	19464	10470
303	19534	10409
304	19600	10346
305	19665	10282
306	19731	10219
307	19796	10155
308	19863	10092
309	19927	10027
310	19993	9964
311	20060	9901
312	20129	9839
313	20200	9778
314	20269	9716
315	20338	9654
316	20403	9590
317	20469	9526
318	20535	9463
319	20603	9400
320	20678	9340
321	20745	9277
322	20810	9213
323	20878	9150
324	20945	9087
325	21013	9024
326	21080	8960
327	21147	8897
328	21215	8834
329	21279	8769
330	21347	8706
331	21416	8643
332	21482	8580
333	21554	8518
334	21625	8456
335	21692	8392
336	21758	8328
337	21825	8265
338	21893	8202
339	21970	8141
340	22039	8078
341	22107	8015
342	22178	7953
343	22256	7893
344	22336	7833
345	22414	7773
346	22483	7710
347	22554	7647
348	22630	7586
349	22697	7522
350	22764	7458
351	22831	7394
352	22904	7331
353	22974	7268
354	23042	7204
355	23109	7140
356	23176	7076
357	23241	7011
358	23306	6946
359	23376	6883
360	23442	6818
361	23507	6753
