ID_Transacao,ID_Cliente,Estabelecimento,Segmento,DataHora,Valor,Fraude
1ca88cf3-bd6d-438e-baff-861fa6c4a94e,a2db9269-561a-4e64-868d-cd167dd44ab1,Nogueira Pereira - ME,Loja Online,2024-11-09 21:06:16,332.66,0
3d2481eb-c159-45c5-986e-fd524bf3a7be,3b830d7e-0054-4943-96ce-84b85e2cd1e4,Jesus,Oficina Mecânica,2023-06-22 05:26:52,17.01,0
04151b5d-1d9c-49cd-8a09-2080bbcdeb1c,f737388d-52fc-47eb-8b44-8082beb8cc59,Dias S.A.,Posto de Combustível,2023-10-01 03:24:26,279.88,1
ce10e2a4-59f1-49cf-adb1-abf6c01a08da,2fe8fdfa-d89f-46eb-8862-04a6b171fd43,Ribeiro,Oficina Mecânica,2024-06-30 22:17:53,124.92,0
b02b67fc-f9fe-454d-85c9-ca75b18d062b,f6b635ff-4212-4948-af85-0c49379d4e93,Rezende,Posto de Combustível,2023-06-03 17:53:38,15.17,0
e7fcc54d-8368-478c-a3cf-0ca138eb205c,67ee76c6-0a3d-43bf-b40d-0156375bd5b6,Fogaça,Mercado Livre,2024-04-25 11:22:46,15.17,0
6e337cee-8a25-4779-85f4-3c31da8d019c,dbb8b653-f634-4dc5-85e4-d42583083bd1,Sousa da Mota S.A.,Mercado Livre,2023-12-22 19:55:36,133.63,0
9f7a0d35-7cd4-4059-8cad-fde72e328bdd,386e8d48-f820-49a0-9435-399c6670a163,Mendonça S/A,Restaurante,2024-10-02 03:46:30,893.54,0
1f47501b-3e9d-41dc-b3cf-8683c3f39e95,4e5af7db-8c74-4931-8daa-06277afacc45,Moraes - EI,Livraria,2023-03-27 21:13:16,11.43,0
c3b0e137-15ef-4de7-913d-34d8ac906f34,8ac05907-52db-4ef1-a775-165c267dcee6,Siqueira e Filhos,Loja de Roupas,2023-12-20 02:26:59,38.52,0
c595d93f-5530-4807-90b1-a59ef9d16606,a9f54ebe-ab8c-4a99-81e9-4f6dbbaed60b,Andrade,Seguros,2024-07-29 02:11:06,11.52,1
a900eb1b-8f0f-490c-af43-040a9c84c624,8dc68d91-ab26-4fb2-88e1-6d40af72ebca,Leão Leão S.A.,Livraria,2025-01-23 08:57:38,97.54,0
32e242ac-de68-4872-9b75-8995890656eb,a19ef230-bf69-4422-ba73-e6eae01d1b0c,Barbosa,Cinema,2024-06-15 06:46:41,26.85,0
91febec0-dc1a-4ef2-941f-2d79436dacb7,a35d48b0-7c1b-4f3c-a0a8-ff91b5e73f09,da Conceição - ME,Pet Shop,2024-03-02 23:53:30,2.02,0
af3ddbe1-3df7-4376-bc1d-c9669f90fbbc,736aaf9a-f03b-47a6-8a2a-1f861ef1f3c9,da Luz,Loja de Conveniência,2023-12-06 15:07:26,2.53,0
